央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://61.190.129.195:8686/udp/238.1.78.166:7200
CCTV1,http://ygbh666.cn/aikmigu.php?id=cctv1
CCTV1,http://219.128.121.202:59901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://123.182.60.29:9002/hls/1/index.m3u8
CCTV1,http://182.104.192.98:8180/TV00000000000000000047@HHZT
CCTV1,http://119.135.1.16:6699/live/1001/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://61.190.129.195:8686/udp/238.1.78.235:7752
CCTV2,http://ygbh666.cn/aikmigu.php?id=cctv2
CCTV2,http://219.128.121.202:59901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://123.182.60.29:9002/hls/2/index.m3u8
CCTV2,http://39.135.133.177:80/wh7f454c46tw1338203950-2016505455/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8?
CCTV2,http://182.104.192.98:8180/TV00000000000000000048@HHZT
CCTV2,http://119.135.1.16:6699/live/1002/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://61.190.129.195:8686/udp/238.1.78.170:7232
CCTV3,http://ygbh666.cn/aikmigu.php?id=cctv3
CCTV3,http://219.128.121.202:59901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://39.135.133.180:80/wh7f454c46tw3059626507-1115377051/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://182.104.192.98:8180/TV00000000000000000009@HHZT
CCTV3,http://119.135.1.16:6699/live/1003/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://61.190.129.195:8686/udp/238.1.78.236:7760
CCTV4,http://ygbh666.cn/aikmigu.php?id=cctv4
CCTV4,http://219.128.121.202:59901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV4,http://123.182.60.29:9002/hls/4/index.m3u8
CCTV4,http://39.135.133.143:80/wh7f454c46tw3883039393-1350507801/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8?
CCTV4,http://182.104.192.98:8180/TV00000000000000000026@HHZT
CCTV4,http://119.135.1.16:6699/live/1004/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://61.190.129.195:8686/udp/238.1.78.171:7240
CCTV5,http://ygbh666.cn/aikmigu.php?id=cctv5
CCTV5,http://219.128.121.202:59901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5,http://39.135.133.180:80/wh7f454c46tw3059626507-1115377051/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://182.104.192.98:8180/TV00000000000000000010@HHZT
CCTV5,http://119.135.1.16:6699/live/1005/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+,http://61.190.129.195:8686/udp/238.1.78.237:7768
CCTV5+,http://ygbh666.cn/aikmigu.php?id=cctv5p
CCTV5+,http://219.128.121.202:59901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV5+,http://123.182.60.29:9002/hls/17/index.m3u8
CCTV5+,http://39.135.133.160:80/wh7f454c46tw815825316-1869660779/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8?
